Indicator,Group,State,Time Period Label,Percentage,Confidence Interval
Symptoms of Anxiety Disorder,By State,Mississippi,"Apr 23 - May 5, 2020",30.3,24.7 - 36.3
Symptoms of Anxiety Disorder,By State,Missouri,"Apr 23 - May 5, 2020",30.4,25.8 - 35.4
Symptoms of Anxiety Disorder,By State,Montana,"Apr 23 - May 5, 2020",22.8,19.6 - 26.3
Symptoms of Anxiety Disorder,By State,Nebraska,"Apr 23 - May 5, 2020",24.2,20.6 - 28.0
Symptoms of Anxiety Disorder,By State,Nevada,"Apr 23 - May 5, 2020",31.4,27.3 - 35.7
Symptoms of Anxiety Disorder,By State,New Hampshire,"Apr 23 - May 5, 2020",31.3,27.1 - 35.7
Symptoms of Anxiety Disorder,By State,New Jersey,"Apr 23 - May 5, 2020",31.4,28.2 - 34.7
Symptoms of Anxiety Disorder,By State,New Mexico,"Apr 23 - May 5, 2020",27.9,23.9 - 32.2
Symptoms of Anxiety Disorder,By State,New York,"Apr 23 - May 5, 2020",36.1,32.1 - 40.2
Symptoms of Anxiety Disorder,By State,North Carolina,"Apr 23 - May 5, 2020",30.0,25.1 - 35.3
Symptoms of Anxiety Disorder,By State,North Dakota,"Apr 23 - May 5, 2020",21.7,18.3 - 25.5
Symptoms of Anxiety Disorder,By State,Ohio,"Apr 23 - May 5, 2020",31.1,27.4 - 35.1
Symptoms of Anxiety Disorder,By State,Oklahoma,"Apr 23 - May 5, 2020",28.6,24.9 - 32.4
Symptoms of Anxiety Disorder,By State,Oregon,"Apr 23 - May 5, 2020",31.5,28.0 - 35.1
Symptoms of Anxiety Disorder,By State,Pennsylvania,"Apr 23 - May 5, 2020",31.0,27.5 - 34.7
Symptoms of Anxiety Disorder,By State,Rhode Island,"Apr 23 - May 5, 2020",27.6,23.4 - 32.0
Symptoms of Anxiety Disorder,By State,South Carolina,"Apr 23 - May 5, 2020",27.8,24.0 - 31.7
Symptoms of Anxiety Disorder,By State,South Dakota,"Apr 23 - May 5, 2020",22.1,17.3 - 27.6
Symptoms of Anxiety Disorder,By State,Tennessee,"Apr 23 - May 5, 2020",28.2,22.8 - 34.0
Symptoms of Anxiety Disorder,By State,Texas,"Apr 23 - May 5, 2020",29.7,25.9 - 33.7
Symptoms of Anxiety Disorder,By State,Utah,"Apr 23 - May 5, 2020",28.9,24.9 - 33.1
Symptoms of Anxiety Disorder,By State,Vermont,"Apr 23 - May 5, 2020",30.6,25.6 - 35.8
Symptoms of Anxiety Disorder,By State,Virginia,"Apr 23 - May 5, 2020",28.5,25.4 - 31.8
Symptoms of Anxiety Disorder,By State,Washington,"Apr 23 - May 5, 2020",30.6,27.7 - 33.7
Symptoms of Anxiety Disorder,By State,West Virginia,"Apr 23 - May 5, 2020",28.8,24.0 - 33.9
Symptoms of Anxiety Disorder,By State,Wisconsin,"Apr 23 - May 5, 2020",27.1,24.1 - 30.2
Symptoms of Anxiety Disorder,By State,Wyoming,"Apr 23 - May 5, 2020",24.9,21.0 - 29.2
Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,"Apr 23 - May 5, 2020",35.9,35.0 - 36.8
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,"Apr 23 - May 5, 2020",30.3,24.8 - 36.2
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,"Apr 23 - May 5, 2020",31.5,28.8 - 34.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arizona,"Apr 23 - May 5, 2020",36.4,32.3 - 40.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arkansas,"Apr 23 - May 5, 2020",38.0,33.1 - 43.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,California,"Apr 23 - May 5, 2020",37.4,34.2 - 40.6
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Colorado,"Apr 23 - May 5, 2020",35.9,32.3 - 39.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Connecticut,"Apr 23 - May 5, 2020",40.2,35.3 - 45.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Delaware,"Apr 23 - May 5, 2020",34.7,30.4 - 39.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,District of Columbia,"Apr 23 - May 5, 2020",37.6,34.1 - 41.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Florida,"Apr 23 - May 5, 2020",36.8,33.9 - 39.8
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,"Apr 23 - May 5, 2020",36.2,31.8 - 40.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,"Apr 23 - May 5, 2020",37.0,31.4 - 42.9
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Idaho,"Apr 23 - May 5, 2020",33.3,29.9 - 36.8
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Illinois,"Apr 23 - May 5, 2020",36.6,32.7 - 40.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Indiana,"Apr 23 - May 5, 2020",37.8,33.5 - 42.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Iowa,"Apr 23 - May 5, 2020",28.2,24.6 - 32.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kansas,"Apr 23 - May 5, 2020",32.5,28.4 - 36.9
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kentucky,"Apr 23 - May 5, 2020",36.4,32.5 - 40.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Louisiana,"Apr 23 - May 5, 2020",38.9,34.3 - 43.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maine,"Apr 23 - May 5, 2020",34.3,30.6 - 38.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maryland,"Apr 23 - May 5, 2020",32.9,29.3 - 36.6
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Massachusetts,"Apr 23 - May 5, 2020",40.6,36.9 - 44.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Michigan,"Apr 23 - May 5, 2020",39.4,35.8 - 43.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Minnesota,"Apr 23 - May 5, 2020",32.4,29.1 - 35.9
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Mississippi,"Apr 23 - May 5, 2020",34.5,28.8 - 40.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,"Apr 23 - May 5, 2020",35.2,30.2 - 40.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,"Apr 23 - May 5, 2020",27.3,23.5 - 31.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nebraska,"Apr 23 - May 5, 2020",28.6,24.9 - 32.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nevada,"Apr 23 - May 5, 2020",34.8,30.4 - 39.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Hampshire,"Apr 23 - May 5, 2020",34.8,30.6 - 39.2
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Jersey,"Apr 23 - May 5, 2020",37.6,34.2 - 41.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Mexico,"Apr 23 - May 5, 2020",34.6,29.9 - 39.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,"Apr 23 - May 5, 2020",41.4,36.7 - 46.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Carolina,"Apr 23 - May 5, 2020",34.6,29.4 - 40.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Dakota,"Apr 23 - May 5, 2020",27.7,23.8 - 31.9
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Ohio,"Apr 23 - May 5, 2020",35.1,31.7 - 38.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oklahoma,"Apr 23 - May 5, 2020",34.1,29.6 - 38.8
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oregon,"Apr 23 - May 5, 2020",36.8,33.2 - 40.6
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Pennsylvania,"Apr 23 - May 5, 2020",35.1,31.7 - 38.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Rhode Island,"Apr 23 - May 5, 2020",34.4,29.9 - 39.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Carolina,"Apr 23 - May 5, 2020",33.3,29.4 - 37.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Dakota,"Apr 23 - May 5, 2020",25.6,20.5 - 31.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Tennessee,"Apr 23 - May 5, 2020",33.4,28.0 - 39.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Texas,"Apr 23 - May 5, 2020",34.9,30.8 - 39.2
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Utah,"Apr 23 - May 5, 2020",34.7,31.1 - 38.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Vermont,"Apr 23 - May 5, 2020",33.9,28.5 - 39.6
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Virginia,"Apr 23 - May 5, 2020",33.7,30.3 - 37.2
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Washington,"Apr 23 - May 5, 2020",35.0,32.2 - 37.8
Symptoms of Anxiety Disorder or Depressive Disorder,By State,West Virginia,"Apr 23 - May 5, 2020",34.3,29.5 - 39.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wisconsin,"Apr 23 - May 5, 2020",31.1,28.1 - 34.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wyoming,"Apr 23 - May 5, 2020",31.0,26.4 - 35.8
Symptoms of Depressive Disorder,National Estimate,United States,"May 7 - May 12, 2020",24.1,23.0 - 25.2
Symptoms of Depressive Disorder,By State,Alabama,"May 7 - May 12, 2020",22.5,16.4 - 29.5
Symptoms of Depressive Disorder,By State,Alaska,"May 7 - May 12, 2020",25.1,20.3 - 30.4
Symptoms of Depressive Disorder,By State,Arizona,"May 7 - May 12, 2020",25.3,19.7 - 31.7
Symptoms of Depressive Disorder,By State,Arkansas,"May 7 - May 12, 2020",24.5,19.2 - 30.5
Symptoms of Depressive Disorder,By State,California,"May 7 - May 12, 2020",22.8,19.2 - 26.8
Symptoms of Depressive Disorder,By State,Colorado,"May 7 - May 12, 2020",23.6,17.8 - 30.2
Symptoms of Depressive Disorder,By State,Connecticut,"May 7 - May 12, 2020",21.5,16.2 - 27.6
Symptoms of Depressive Disorder,By State,Delaware,"May 7 - May 12, 2020",23.3,18.3 - 28.9
Symptoms of Depressive Disorder,By State,District of Columbia,"May 7 - May 12, 2020",30.3,22.8 - 38.6
Symptoms of Depressive Disorder,By State,Florida,"May 7 - May 12, 2020",24.8,20.0 - 30.0
Symptoms of Depressive Disorder,By State,Georgia,"May 7 - May 12, 2020",25.6,20.7 - 30.9
Symptoms of Depressive Disorder,By State,Hawaii,"May 7 - May 12, 2020",16.8,12.1 - 22.4
Symptoms of Depressive Disorder,By State,Idaho,"May 7 - May 12, 2020",17.0,13.2 - 21.5
Symptoms of Depressive Disorder,By State,Illinois,"May 7 - May 12, 2020",29.2,25.2 - 33.5
Symptoms of Depressive Disorder,By State,Indiana,"May 7 - May 12, 2020",19.9,14.8 - 25.8
Symptoms of Depressive Disorder,By State,Iowa,"May 7 - May 12, 2020",18.1,12.9 - 24.2
Symptoms of Depressive Disorder,By State,Kansas,"May 7 - May 12, 2020",16.7,12.8 - 21.2
Symptoms of Depressive Disorder,By State,Kentucky,"May 7 - May 12, 2020",25.6,19.8 - 32.2
Symptoms of Depressive Disorder,By State,Louisiana,"May 7 - May 12, 2020",30.0,23.2 - 37.5
Symptoms of Depressive Disorder,By State,Maine,"May 7 - May 12, 2020",17.1,12.2 - 23.0
Symptoms of Depressive Disorder,By State,Maryland,"May 7 - May 12, 2020",24.6,18.3 - 31.8
Symptoms of Depressive Disorder,By State,Massachusetts,"May 7 - May 12, 2020",18.9,15.2 - 23.0
Symptoms of Depressive Disorder,By State,Michigan,"May 7 - May 12, 2020",23.4,18.8 - 28.4
Symptoms of Depressive Disorder,By State,Minnesota,"May 7 - May 12, 2020",18.4,13.8 - 23.9
Symptoms of Depressive Disorder,By State,Mississippi,"May 7 - May 12, 2020",35.5,27.5 - 44.1
Symptoms of Depressive Disorder,By State,Missouri,"May 7 - May 12, 2020",24.1,18.5 - 30.5
Symptoms of Depressive Disorder,By State,Montana,"May 7 - May 12, 2020",20.8,14.7 - 28.2
Symptoms of Depressive Disorder,By State,Nebraska,"May 7 - May 12, 2020",21.6,15.4 - 28.9
Symptoms of Depressive Disorder,By State,Nevada,"May 7 - May 12, 2020",31.2,25.4 - 37.5
Symptoms of Depressive Disorder,By State,New Hampshire,"May 7 - May 12, 2020",23.3,18.2 - 28.9
Symptoms of Depressive Disorder,By State,New Jersey,"May 7 - May 12, 2020",26.4,20.3 - 33.2
Symptoms of Depressive Disorder,By State,New Mexico,"May 7 - May 12, 2020",29.0,20.8 - 38.3
Symptoms of Depressive Disorder,By State,New York,"May 7 - May 12, 2020",29.2,24.2 - 34.6
Symptoms of Depressive Disorder,By State,North Carolina,"May 7 - May 12, 2020",20.2,15.6 - 25.5
Symptoms of Depressive Disorder,By State,North Dakota,"May 7 - May 12, 2020",20.2,13.9 - 27.9
Symptoms of Depressive Disorder,By State,Ohio,"May 7 - May 12, 2020",26.4,21.3 - 32.1
Symptoms of Depressive Disorder,By State,Oklahoma,"May 7 - May 12, 2020",20.7,15.4 - 26.9
Symptoms of Depressive Disorder,By State,Oregon,"May 7 - May 12, 2020",17.8,13.7 - 22.6
Symptoms of Depressive Disorder,By State,Pennsylvania,"May 7 - May 12, 2020",23.0,18.8 - 27.8
Symptoms of Depressive Disorder,By State,Rhode Island,"May 7 - May 12, 2020",22.8,15.3 - 31.9
Symptoms of Depressive Disorder,By State,South Carolina,"May 7 - May 12, 2020",25.6,20.6 - 31.1
Symptoms of Depressive Disorder,By State,South Dakota,"May 7 - May 12, 2020",20.5,13.5 - 29.2
Symptoms of Depressive Disorder,By State,Tennessee,"May 7 - May 12, 2020",21.7,15.2 - 29.5
Symptoms of Depressive Disorder,By State,Texas,"May 7 - May 12, 2020",25.7,21.8 - 30.0
Symptoms of Depressive Disorder,By State,Utah,"May 7 - May 12, 2020",22.6,17.9 - 27.8
Symptoms of Depressive Disorder,By State,Vermont,"May 7 - May 12, 2020",26.8,20.4 - 34.1
Symptoms of Depressive Disorder,By State,Virginia,"May 7 - May 12, 2020",20.6,16.4 - 25.4
Symptoms of Depressive Disorder,By State,Washington,"May 7 - May 12, 2020",22.9,19.4 - 26.6
Symptoms of Depressive Disorder,By State,West Virginia,"May 7 - May 12, 2020",31.8,24.7 - 39.7
Symptoms of Depressive Disorder,By State,Wisconsin,"May 7 - May 12, 2020",22.9,17.2 - 29.5
Symptoms of Depressive Disorder,By State,Wyoming,"May 7 - May 12, 2020",18.6,11.0 - 28.5
Symptoms of Anxiety Disorder,National Estimate,United States,"May 7 - May 12, 2020",30.0,28.9 - 31.0
Symptoms of Anxiety Disorder,By State,Alabama,"May 7 - May 12, 2020",27.2,21.1 - 34.1
Symptoms of Anxiety Disorder,By State,Alaska,"May 7 - May 12, 2020",27.4,22.8 - 32.4
Symptoms of Anxiety Disorder,By State,Arizona,"May 7 - May 12, 2020",34.2,29.2 - 39.4
Symptoms of Anxiety Disorder,By State,Arkansas,"May 7 - May 12, 2020",29.1,23.4 - 35.3
Symptoms of Anxiety Disorder,By State,California,"May 7 - May 12, 2020",31.4,27.4 - 35.6
Symptoms of Anxiety Disorder,By State,Colorado,"May 7 - May 12, 2020",29.7,23.4 - 36.8
Symptoms of Anxiety Disorder,By State,Connecticut,"May 7 - May 12, 2020",29.1,22.4 - 36.6
Symptoms of Anxiety Disorder,By State,Delaware,"May 7 - May 12, 2020",24.9,19.7 - 30.8
Symptoms of Anxiety Disorder,By State,District of Columbia,"May 7 - May 12, 2020",36.2,28.6 - 44.5
Symptoms of Anxiety Disorder,By State,Florida,"May 7 - May 12, 2020",27.6,23.1 - 32.5
Symptoms of Anxiety Disorder,By State,Georgia,"May 7 - May 12, 2020",29.5,24.2 - 35.4
Symptoms of Anxiety Disorder,By State,Hawaii,"May 7 - May 12, 2020",20.4,15.9 - 25.5
Symptoms of Anxiety Disorder,By State,Idaho,"May 7 - May 12, 2020",25.0,19.9 - 30.6
Symptoms of Anxiety Disorder,By State,Illinois,"May 7 - May 12, 2020",35.7,30.6 - 41.1
Symptoms of Anxiety Disorder,By State,Indiana,"May 7 - May 12, 2020",31.5,26.5 - 36.9
Symptoms of Anxiety Disorder,By State,Iowa,"May 7 - May 12, 2020",20.3,15.5 - 25.9
Symptoms of Anxiety Disorder,By State,Kansas,"May 7 - May 12, 2020",25.1,20.0 - 30.9
Symptoms of Anxiety Disorder,By State,Kentucky,"May 7 - May 12, 2020",29.6,24.6 - 35.0
Symptoms of Anxiety Disorder,By State,Louisiana,"May 7 - May 12, 2020",34.6,27.2 - 42.7
Symptoms of Anxiety Disorder,By State,Maine,"May 7 - May 12, 2020",28.9,22.7 - 35.7
Symptoms of Anxiety Disorder,By State,Maryland,"May 7 - May 12, 2020",30.1,24.2 - 36.6
Symptoms of Anxiety Disorder,By State,Massachusetts,"May 7 - May 12, 2020",28.7,24.5 - 33.3
Symptoms of Anxiety Disorder,By State,Michigan,"May 7 - May 12, 2020",27.0,22.4 - 32.1
Symptoms of Anxiety Disorder,By State,Minnesota,"May 7 - May 12, 2020",22.9,18.4 - 27.9
Symptoms of Anxiety Disorder,By State,Mississippi,"May 7 - May 12, 2020",38.3,30.9 - 46.0
Symptoms of Anxiety Disorder,By State,Missouri,"May 7 - May 12, 2020",37.8,32.3 - 43.7
Symptoms of Anxiety Disorder,By State,Montana,"May 7 - May 12, 2020",24.9,18.1 - 32.8
Symptoms of Anxiety Disorder,By State,Nebraska,"May 7 - May 12, 2020",29.6,23.1 - 36.8
Symptoms of Anxiety Disorder,By State,Nevada,"May 7 - May 12, 2020",34.0,28.3 - 40.2
Symptoms of Anxiety Disorder,By State,New Hampshire,"May 7 - May 12, 2020",30.4,25.7 - 35.5
Symptoms of Anxiety Disorder,By State,New Jersey,"May 7 - May 12, 2020",36.3,29.9 - 43.2
Symptoms of Anxiety Disorder,By State,New Mexico,"May 7 - May 12, 2020",30.2,22.7 - 38.4
Symptoms of Anxiety Disorder,By State,New York,"May 7 - May 12, 2020",33.0,27.7 - 38.5
Symptoms of Anxiety Disorder,By State,North Carolina,"May 7 - May 12, 2020",25.9,20.4 - 32.0
Symptoms of Anxiety Disorder,By State,North Dakota,"May 7 - May 12, 2020",25.4,18.8 - 33.0
Symptoms of Anxiety Disorder,By State,Ohio,"May 7 - May 12, 2020",26.4,21.6 - 31.6
Symptoms of Anxiety Disorder,By State,Oklahoma,"May 7 - May 12, 2020",27.2,20.7 - 34.6
Symptoms of Anxiety Disorder,By State,Oregon,"May 7 - May 12, 2020",26.2,22.5 - 30.3
Symptoms of Anxiety Disorder,By State,Pennsylvania,"May 7 - May 12, 2020",28.4,23.7 - 33.5
Symptoms of Anxiety Disorder,By State,Rhode Island,"May 7 - May 12, 2020",26.9,19.2 - 35.9
Symptoms of Anxiety Disorder,By State,South Carolina,"May 7 - May 12, 2020",27.9,23.0 - 33.3
Symptoms of Anxiety Disorder,By State,South Dakota,"May 7 - May 12, 2020",26.1,17.9 - 35.7
Symptoms of Anxiety Disorder,By State,Tennessee,"May 7 - May 12, 2020",29.6,23.4 - 36.5
Symptoms of Anxiety Disorder,By State,Texas,"May 7 - May 12, 2020",32.4,28.2 - 36.9
